date,holiday,country,iso
2018-01-29,Public Holiday,Afghanistan,AFG
2018-02-15,Liberation Day,Afghanistan,AFG
2018-02-28,Public Holiday,Afghanistan,AFG
2018-03-21,Nowrooz,Afghanistan,AFG
2018-03-22,Nowrooz Holiday,Afghanistan,AFG
2018-04-28,Mujahideen Victory Day,Afghanistan,AFG
2018-05-01,Labour Day,Afghanistan,AFG
2018-05-16,Ramadan,Afghanistan,AFG
2018-06-15,Eid al-Fitr,Afghanistan,AFG
2018-06-16,Eid al-Fitr,Afghanistan,AFG
2018-06-17,Eid al-Fitr,Afghanistan,AFG
2018-08-19,Independence Day,Afghanistan,AFG
2018-08-20,Day of Arafa,Afghanistan,AFG
2018-08-21,Eid Al Adha,Afghanistan,AFG
2018-08-22,Eid Al Adha Holiday,Afghanistan,AFG
2018-08-23,Eid Al Adha Holiday,Afghanistan,AFG
2018-09-20,Ashura,Afghanistan,AFG
2018-11-20,Birthday of the Prophet Muhammad,Afghanistan,AFG
2019-02-15,Liberation Day,Afghanistan,AFG
2019-03-21,Nowrooz,Afghanistan,AFG
2019-03-22,Nowrooz Holiday,Afghanistan,AFG
2019-04-28,Mujahideen Victory Day,Afghanistan,AFG
2019-04-28,Public Holiday,Afghanistan,AFG
2019-04-29,Public Holiday,Afghanistan,AFG
2019-04-30,Public Holiday,Afghanistan,AFG
2019-05-01,Labour Day,Afghanistan,AFG
2019-05-02,Public Holiday,Afghanistan,AFG
2019-05-06,Ramadan,Afghanistan,AFG
2019-06-04,Eid al-Fitr,Afghanistan,AFG
2019-06-05,Eid al-Fitr Holiday,Afghanistan,AFG
2019-06-06,Eid al-Fitr Holiday,Afghanistan,AFG
2019-08-10,Day of Arafa,Afghanistan,AFG
2019-08-11,Eid Al Adha,Afghanistan,AFG
2019-08-12,Eid Al Adha Holiday,Afghanistan,AFG
2019-08-13,Eid Al Adha Holiday,Afghanistan,AFG
2019-08-19,Independence Day,Afghanistan,AFG
2019-09-09,Massoud Day,Afghanistan,AFG
2019-09-10,Ashura,Afghanistan,AFG
2019-09-28,Public Holiday,Afghanistan,AFG
2019-11-10,Birthday of the Prophet Muhammad,Afghanistan,AFG
2020-02-15,Liberation Day,Afghanistan,AFG
2020-03-09,Presidential Inauguration,Afghanistan,AFG
2020-03-20,Nowrooz,Afghanistan,AFG
2020-03-21,Nowrooz Holiday,Afghanistan,AFG
2020-04-24,Ramadan,Afghanistan,AFG
2020-04-28,Mujahideen Victory Day,Afghanistan,AFG
2020-05-01,Labour Day,Afghanistan,AFG
2020-05-24,Eid al-Fitr,Afghanistan,AFG
2020-05-25,Eid al-Fitr Holiday,Afghanistan,AFG
2020-05-26,Eid al-Fitr Holiday,Afghanistan,AFG
2020-07-30,Day of Arafa,Afghanistan,AFG
2020-07-31,Eid Al Adha,Afghanistan,AFG
2020-08-01,Eid Al Adha Holiday,Afghanistan,AFG
2020-08-19,Independence Day,Afghanistan,AFG
2020-08-29,Ashura,Afghanistan,AFG
2020-09-09,Massoud Day,Afghanistan,AFG
2020-10-29,Birthday of the Prophet Muhammad,Afghanistan,AFG
2020-11-19,Public Holiday,Afghanistan,AFG
2021-02-15,Liberation Day,Afghanistan,AFG
2021-03-21,Nowrooz,Afghanistan,AFG
2021-03-22,Nowrooz Holiday,Afghanistan,AFG
2021-04-13,Ramadan,Afghanistan,AFG
2021-04-28,Mujahideen Victory Day,Afghanistan,AFG
2021-05-01,Labour Day,Afghanistan,AFG
2021-05-13,Eid al-Fitr,Afghanistan,AFG
2021-05-14,Eid al-Fitr Holiday,Afghanistan,AFG
2021-05-15,Eid al-Fitr Holiday,Afghanistan,AFG
2021-07-19,Day of Arafa,Afghanistan,AFG
2021-07-20,Eid Al Adha,Afghanistan,AFG
2021-07-21,Eid Al Adha Holiday,Afghanistan,AFG
2021-07-22,Eid Al Adha Holiday,Afghanistan,AFG
2021-08-18,Ashura,Afghanistan,AFG
2021-08-19,Independence Day,Afghanistan,AFG
2021-09-09,Massoud Day,Afghanistan,AFG
2021-10-19,Birthday of the Prophet Muhammad,Afghanistan,AFG
2022-02-15,Liberation Day,Afghanistan,AFG
2022-03-21,Nowrooz,Afghanistan,AFG
2022-03-22,Nowrooz Holiday,Afghanistan,AFG
2022-04-03,Ramadan,Afghanistan,AFG
2022-04-28,Mujahideen Victory Day,Afghanistan,AFG
2022-05-01,Labour Day,Afghanistan,AFG
2022-05-03,Eid al-Fitr,Afghanistan,AFG
2022-05-04,Eid al-Fitr Holiday,Afghanistan,AFG
2022-05-05,Eid al-Fitr Holiday,Afghanistan,AFG
2022-07-09,Day of Arafa,Afghanistan,AFG
2022-07-10,Eid Al Adha,Afghanistan,AFG
2022-07-11,Eid Al Adha Holiday,Afghanistan,AFG
2022-07-12,Eid Al Adha Holiday,Afghanistan,AFG
2022-08-08,Ashura,Afghanistan,AFG
2022-08-19,Independence Day,Afghanistan,AFG
2022-09-09,Massoud Day,Afghanistan,AFG
2022-10-09,Birthday of the Prophet Muhammad,Afghanistan,AFG
2016-01-01,New Year's Day,Albania,ALB
2016-01-02,New Year's Holiday,Albania,ALB
2016-01-04,New Year's Holiday,Albania,ALB
2016-03-14,Summer Day,Albania,ALB
2016-03-22,Nevruz,Albania,ALB
2016-03-27,Easter (Catholic),Albania,ALB
2016-05-01,Labour Day,Albania,ALB
2016-05-01,Orthodox Easter Day,Albania,ALB
2016-05-02,Labour Day,Albania,ALB
2016-07-05,Eid al-Fitr,Albania,ALB
2016-09-12,Eid Al Adha,Albania,ALB
